,trial_id,model,env,accuracy
0,0,naive,train,0.9443
0,0,naive,test,0.8174
0,0,causal,train,0.8589
0,0,causal,test,0.8587
0,0,group,train,0.928
0,0,group,test,0.9308
0,0,oracle,train,0.9429
0,0,oracle,test,0.9449
0,1,naive,train,0.9421
0,1,naive,test,0.8182
0,1,causal,train,0.859
0,1,causal,test,0.856
0,1,group,train,0.9266
0,1,group,test,0.9292
0,1,oracle,train,0.9399
0,1,oracle,test,0.9453
0,2,naive,train,0.9454
0,2,naive,test,0.8174
0,2,causal,train,0.865
0,2,causal,test,0.8591
0,2,group,train,0.9287
0,2,group,test,0.9303
0,2,oracle,train,0.9433
0,2,oracle,test,0.9415
0,3,naive,train,0.9497
0,3,naive,test,0.8172
0,3,causal,train,0.862
0,3,causal,test,0.8554
0,3,group,train,0.9314
0,3,group,test,0.9298
0,3,oracle,train,0.9468
0,3,oracle,test,0.9421
0,4,naive,train,0.9461
0,4,naive,test,0.8218
0,4,causal,train,0.8629
0,4,causal,test,0.8613
0,4,group,train,0.9348
0,4,group,test,0.9349
0,4,oracle,train,0.9438
0,4,oracle,test,0.9431
0,5,naive,train,0.9439
0,5,naive,test,0.8214
0,5,causal,train,0.8599
0,5,causal,test,0.8572
0,5,group,train,0.9263
0,5,group,test,0.9318
0,5,oracle,train,0.9413
0,5,oracle,test,0.9439
0,6,naive,train,0.947
0,6,naive,test,0.8169
0,6,causal,train,0.8669
0,6,causal,test,0.8524
0,6,group,train,0.9289
0,6,group,test,0.9299
0,6,oracle,train,0.9442
0,6,oracle,test,0.9428
0,7,naive,train,0.9441
0,7,naive,test,0.8174
0,7,causal,train,0.861
0,7,causal,test,0.86
0,7,group,train,0.9295
0,7,group,test,0.9347
0,7,oracle,train,0.9418
0,7,oracle,test,0.9436
0,8,naive,train,0.9486
0,8,naive,test,0.8208
0,8,causal,train,0.864
0,8,causal,test,0.8565
0,8,group,train,0.9309
0,8,group,test,0.9298
0,8,oracle,train,0.947
0,8,oracle,test,0.9428
0,9,naive,train,0.9453
0,9,naive,test,0.8175
0,9,causal,train,0.8606
0,9,causal,test,0.8601
0,9,group,train,0.9294
0,9,group,test,0.9289
0,9,oracle,train,0.9439
0,9,oracle,test,0.9384
