timestamp,xprice,yprice,returns
1357225500000,139.837500,169.250000,0.312500
1357225510000,139.887500,169.300000,0.275000
1357225520000,139.862500,169.337500,0.250000
1357225530000,139.837500,169.362500,0.237500
1357225540000,139.837500,169.362500,0.325000
1357225550000,139.812500,169.362500,0.337500
1357225560000,139.787500,169.325000,0.350000
1357225570000,139.775000,169.325000,0.350000
1357225580000,139.787500,169.275000,0.400000
1357225590000,139.787500,169.312500,0.362500
1357225600000,139.787500,169.312500,0.412500
1357225610000,139.787500,169.312500,0.512500
1357225620000,139.787500,169.275000,0.562500
1357225630000,139.787500,169.300000,0.537500
1357225640000,139.787500,169.300000,0.625000
1357225650000,139.787500,169.337500,0.575000
1357225660000,139.812500,169.412500,0.487500
1357225670000,139.812500,169.362500,0.537500
1357225680000,139.812500,169.362500,0.475000
1357225690000,139.812500,169.362500,0.487500
1357225700000,139.812500,169.337500,0.500000
1357225710000,139.812500,169.337500,0.450000
1357225720000,139.812500,169.337500,0.450000
1357225730000,139.812500,169.337500,0.450000
1357225740000,139.812500,169.337500,0.475000
1357225750000,139.812500,169.350000,0.475000
1357225760000,139.812500,169.337500,0.512500
1357225770000,139.812500,169.337500,0.537500
1357225780000,139.812500,169.337500,0.537500
1357225790000,139.812500,169.337500,0.537500
1357225800000,139.887500,169.387500,0.512500
1357225810000,139.887500,169.387500,0.525000
1357225820000,139.887500,169.400000,0.500000
1357225830000,139.887500,169.425000,0.475000
1357225840000,139.887500,169.425000,0.462500
1357225850000,139.887500,169.425000,0.450000
1357225860000,139.887500,169.425000,0.450000
1357225870000,139.887500,169.437500,0.412500
1357225880000,139.887500,169.425000,0.412500
1357225890000,139.887500,169.425000,0.412500
1357225900000,139.887500,169.400000,0.462500
1357225910000,139.912500,169.425000,0.487500
1357225920000,139.912500,169.425000,0.425000
1357225930000,139.912500,169.450000,0.387500
1357225940000,139.912500,169.450000,0.387500
1357225950000,139.912500,169.512500,0.337500
1357225960000,139.912500,169.500000,0.350000
1357225970000,139.912500,169.500000,0.350000
1357225980000,139.912500,169.500000,0.262500
1357225990000,139.912500,169.500000,0.250000
1357226000000,139.912500,169.500000,0.275000
1357226010000,139.912500,169.500000,0.325000
1357226020000,139.912500,169.500000,0.337500
1357226030000,139.912500,169.525000,0.325000
1357226040000,139.987500,169.550000,0.300000
1357226050000,140.037500,169.550000,0.312500
1357226060000,140.087500,169.587500,0.287500
1357226070000,140.087500,169.587500,0.300000
1357226080000,140.062500,169.587500,0.337500
1357226090000,140.087500,169.587500,0.337500
1357226100000,140.087500,169.562500,0.400000
1357226110000,140.087500,169.575000,0.387500
1357226120000,140.087500,169.587500,0.425000
1357226130000,140.212500,169.600000,0.412500
1357226140000,140.212500,169.687500,0.312500
1357226150000,140.137500,169.700000,0.300000
1357226160000,140.125000,169.675000,0.337500
1357226170000,140.112500,169.675000,0.337500
